ref_key,doi_or_url,author,title,year,howpublished
ref4,https://arxiv.org/abs/2508.01503,"Cohn, C. and Hutchins, N. and Biswas, G. and Vatral, C",A theory of adaptive scaffolding for LLM-based pedagogical agents,2025,arXiv preprint
ref12,https://arxiv.org/abs/2510.11076,"Fu, C. and Li, Y. and Zhang, J",DebugTA: An LLM-based agent for simplifying debugging and teaching in programming education,2025,arXiv preprint
ref13,https://arxiv.org/abs/2507.02660,"Gadde, R. and Vasudevan, S. and Krishnamurthy, P","Hey AI, generate me a hardware code! Agentic AI-based hardware design and verification",2025,arXiv preprint
ref14,(none),"Gadginmath, S. and Voskov, D. and Tchelepi, H",Provably safe generative sampling with constricting barrier functions,2026,[Manuscript in preparation]
ref15,https://arxiv.org/abs/2508.18875,"Gale, T. and Sentance, S. and Waite, J",PRIMMDebug: A debugging teaching aid for secondary students,2025,arXiv preprint
ref16,(none),"Gao, X. and Li, H. and Wang, J",Multi-agent framework for schema-guided reasoning and tool-augmented interaction with IFC models,2024,[Conference paper]
ref19,https://arxiv.org/abs/2510.22286,Anonymous,"Hybrid Instructor AI Assessment in Academic Projects: Efficiency, Equity, and Methodological Lessons",2025,arXiv preprint
ref20,(none),"Ibba, M. and Marini, A. and Pavan, A",ASK-BIM: A knowledge graph-powered AI system for natural language querying of BIM models,2024,[Conference paper]
ref21,https://arxiv.org/abs/2504.16813,"Iranmanesh, A. and Hu, X. and Kocaturk, T",LLM-assisted Graph-RAG information extraction from IFC data,2025,arXiv preprint
ref27,https://doi.org/10.21203/rs.3.rs-7718099/v1,"Jukiewicz, M",Sentiment analysis of large language models feedback: A multi-model comparative study in programming assessment,2025,Research Square
ref29,https://doi.org/10.2139/ssrn.5563440,"Kim, J. and Park, S. and Lee, H",Language models as BIM interpreters: Unlocking IFC data for automation in construction informatics,2025,Social Science Research Network
ref31,https://arxiv.org/abs/2508.18391,"Kulkarni, C. and Sharma, R. and Patel, V",PKG-DPO: Optimizing domain-specific AI systems with physics knowledge graphs and direct preference optimization,2025,arXiv preprint
ref32,https://arxiv.org/abs/2509.00768,"Lee, S. and Kim, J. and Park, H",Aligning reasoning LLMs for materials discovery with physics-aware rejection sampling,2025,arXiv preprint
