output,parameter,mu,sigma,mu_star
annual_consumption_kwh,wall_u_value,2709.3154292810727,11199.421492438849,2709.3154292810727
annual_consumption_kwh,roof_u_value,2093.1985626224146,8363.275278193634,2093.1985626224146
annual_consumption_kwh,window_u_value,612.8316911503109,2846.9295459269597,612.8316911503109
annual_consumption_kwh,window_shgc,1371.472291085656,7884.528191151022,1371.472291085656
annual_consumption_kwh,window_to_wall_ratio,4573.952089212652,15519.611308379344,4573.952089212652
annual_consumption_kwh,infiltration_ach,1792.768443066872,9002.523085363766,1792.768443066872
annual_consumption_kwh,hvac_cop,5230.404271697797,14073.110624310599,5230.404271697797
annual_consumption_kwh,hvac_setpoint_cooling,2250.936493719241,9454.969096033748,2250.936493719241
annual_consumption_kwh,hvac_setpoint_heating,3928.9645901326144,12383.666846719008,3928.9645901326144
annual_consumption_kwh,lighting_power_density,5257.92798523722,15511.769910633438,5257.92798523722
annual_consumption_kwh,equipment_power_density,3742.787516818585,13749.723076273918,3742.787516818585
annual_consumption_kwh,occupancy_density,1709.9655497276485,5820.6038649965885,1709.9655497276485
comfort_hours,wall_u_value,230.190417684306,888.9829819765195,230.190417684306
comfort_hours,roof_u_value,221.1466830915955,868.5560937048334,221.1466830915955
comfort_hours,window_u_value,175.02093629430635,694.8723701871198,175.02093629430635
comfort_hours,window_shgc,135.1916891818024,773.8459357578015,135.1916891818024
comfort_hours,window_to_wall_ratio,377.1870998088883,1020.4400740878368,377.1870998088883
comfort_hours,infiltration_ach,149.31128539615148,784.204201880276,149.31128539615148
comfort_hours,hvac_cop,437.70045709170773,1045.7711335424106,437.70045709170773
comfort_hours,hvac_setpoint_cooling,201.74817530936153,699.3466565924489,201.74817530936153
comfort_hours,hvac_setpoint_heating,443.8304766347389,1340.2545669075691,443.8304766347389
comfort_hours,lighting_power_density,345.23450382597616,1033.8164985915923,345.23450382597616
comfort_hours,equipment_power_density,405.0029795395856,1517.28657374674,405.0029795395856
comfort_hours,occupancy_density,328.4453919565152,1398.0960276525557,328.4453919565152
peak_cooling_kw,wall_u_value,0.9689838035114694,4.469934556436131,0.9689838035114694
peak_cooling_kw,roof_u_value,1.6069022691011754,5.958925169649077,1.6069022691011754
peak_cooling_kw,window_u_value,1.1633347774058658,5.519795265514608,1.1633347774058658
peak_cooling_kw,window_shgc,1.002742125815842,5.373430911430643,1.002742125815842
peak_cooling_kw,window_to_wall_ratio,2.9904126533114037,8.068634460489744,2.9904126533114037
peak_cooling_kw,infiltration_ach,0.4203223624831224,1.8268625987981117,0.4203223624831224
peak_cooling_kw,hvac_cop,2.430489509843465,6.097713595425226,2.430489509843465
peak_cooling_kw,hvac_setpoint_cooling,1.4892352066381105,5.904647823758743,1.4892352066381105
peak_cooling_kw,hvac_setpoint_heating,2.092268133475873,5.908152587890184,2.092268133475873
peak_cooling_kw,lighting_power_density,1.8429509113959066,5.9370197440515575,1.8429509113959066
peak_cooling_kw,equipment_power_density,2.3261493839700598,7.8292552756534395,2.3261493839700598
peak_cooling_kw,occupancy_density,2.539842521864965,8.268289969387645,2.539842521864965
