parameter,sobol_S1,sobol_ST,morris_mu_star
infiltration_ach,0.38156046024467455,0.4295466779214243,1792.768443066872
wall_u_value,0.35658296747608914,0.38437220287347895,2709.3154292810727
roof_u_value,0.07993790644913447,0.2785108499239054,2093.1985626224146
window_to_wall_ratio,0.06583215217592683,0.0247918255712023,4573.952089212652
window_shgc,0.07952971564869721,0.014781082865196856,1371.472291085656
window_u_value,0.0,0.0,612.8316911503109
hvac_cop,0.0,0.0,5230.404271697797
hvac_setpoint_cooling,0.0,0.0,2250.936493719241
hvac_setpoint_heating,0.0,0.0,3928.9645901326144
lighting_power_density,0.0,0.0,5257.92798523722
equipment_power_density,0.0,0.0,3742.787516818585
occupancy_density,0.0,0.0,1709.9655497276485
